Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,2021,1,100,100,100,100,60,60,60,24,36,0,2,3,18,97,1167.728483,32,,16,3,1,1
0,1,2022,0,0,0,0,,28.5,0,1,0,0,0,2,4,2,35,56.93421667,2,,1,0,1,0
0,1,2020,0,80.43,86.96,73.91,92.68292683,69,55.5,69,30,25.5,0,2,3,45,233,4426.834883,116,37,28,3,2,2
0,1,2022,1,32.5,58.33,21.43,,60,19.5,19.5,10.5,9,0,1,1,20,137,990.8554167,40,92,13,0,1,1
0,1,2019,1,67.74,100,50,0,46.5,31.5,31.5,16.5,6,0,2,2,29,258,1928.199367,43,67,22,2,2,1
0,1,2019,0,100,100,100,76.19047619,61.5,61.5,61.5,34.5,27,0,2,4,28,378,2830.1116,52,45,22,3,2,2
0,1,2020,1,0,0,0,0,54,0,0,0,0,0,2,3,2,34,183.0858167,6,54,1,0,1,1
0,1,2019,1,79.55,100,55,90,66,52.5,66,36,16.5,0,3,4,20,264,1071.60905,32,38,14,2,1,2
0,1,2022,1,100,100,100,,60,60,60.03,30,30,0,1,1,55,291,3995.299383,93,95,31,3,2,1
0,1,2022,1,60,80,40,,60,36,37.33,24,12,0,1,1,51,355,3464.575433,88,167,41,1,2,1
1,1,2016,1,12.5,33.33,0,56.41025641,48,6,12,6,0,0,3,4,16,88,1092.992433,23,75,12,0,1,1
0,1,2022,0,88.33,100,86.27,,60,53,53,9,5,0,1,1,,,,,149,,3,,1
0,1,2018,0,100,100,100,70.96774194,28.5,28.5,28.5,16.5,12,0,4,4,56,398,5178.708233,120,61,38,3,2,0
0,1,2022,0,100,100,100,,42,42,42,24,18,0,1,1,10,68,673.4018,22,48,7,3,1,1
0,1,2018,1,100,100,100,100,55.5,55.5,55.5,4.5,19.5,0,4,5,3,18,138.8408833,4,123,2,3,1,1
0,1,2021,1,100,100,100,80,72,72,72,42,30,0,1,2,48,499,4160.462033,108,158,29,3,2,2
1,1,2022,1,0,0,0,,60,0,0,0,0,0,1,1,,,,,,,0,,1
