Subject Code,Total Students,Dropout Students,Avg Grade,Dropout Rate (%)
d615f8419965,265,137,4.23,51.7
bfc0723645e5,264,137,4.52,51.9
f7b8e5e04b59,256,133,4.84,52.0
2d38a3f98180,245,128,6.17,52.2
36596d03cefe,245,127,5.25,51.8
3845075ee50b,241,126,6.43,52.3
7f0859996956,242,126,6.12,52.1
6f49b07c950c,245,126,7.26,51.4
38f47e05c354,242,125,6.39,51.7
5d7456f79a6e,242,125,6.4,51.7
d6125e17c695,118,72,7.87,61.0
7c5665f1b83d,117,72,6.82,61.5
af96d7157462,117,72,7.33,61.5
97fde1d965ad,117,72,6.74,61.5
5428ec76b254,112,71,6.4,63.4
75d5fcf005ce,120,71,6.86,59.2
a110b4cea894,116,70,6.81,60.3
94b61028667f,109,69,6.51,63.3
139c7de18412,115,69,6.23,60.0
9b01ed1b37bb,112,69,5.93,61.6
9da7bf14c4db,110,69,7.47,62.7
ff23db597e10,112,69,7.6,61.6
dc87994497ae,64,44,5.77,68.8
70eecd734047,398,44,5.11,11.1
5afaf36d27c9,63,44,5.88,69.8
70cde17fb562,455,43,4.7,9.5
8b7ca0db5586,408,42,5.92,10.3
5a8793f95094,462,42,4.2,9.1
f468505a3dcc,57,42,7.42,73.7
ab433520cabe,55,41,7.13,74.5
19753f52c262,59,41,6.07,69.5
8f045373f3de,354,41,4.27,11.6
e83250223615,54,40,7.27,74.1
6a869e60db44,55,40,9.2,72.7
b50002d2299a,55,40,7.32,72.7
839352895b33,56,39,7.19,69.6
9ee4dbfea33c,433,39,4.74,9.0
b37ad73a7d2d,53,39,7.47,73.6
383e595bc800,318,39,5.07,12.3
edc73ae05296,383,38,5.45,9.9
d8224bcc3493,371,38,6.44,10.2
df5cea5e17e7,296,37,6.02,12.5
47a75f17bd50,300,37,4.68,12.3
ab67d792f89d,317,37,5.34,11.7
5e25119e9112,391,36,6.06,9.2
aaac7902c946,311,36,4.33,11.6
aeb902a19e48,292,36,6.38,12.3
3fbc67316c26,301,35,4.24,11.6
c1ddb3ab3686,284,35,5.8,12.3
39e5b4830d4d,307,33,4.2,10.7
0d9a5484f79e,293,32,2.61,10.9
21049fe0067f,288,31,3.21,10.8
e443169117a1,292,30,3.44,10.3
56acd2f85500,271,28,4.47,10.3
39346d4953ad,251,26,4.48,10.4
3b5d379e5998,238,26,5.26,10.9
a1c5f5584e30,234,26,4.85,11.1
a6c9b0f863d3,231,25,5.06,10.8
0612c461d2ba,97,23,4.08,23.7
698b56cc4c03,101,22,3.35,21.8
ef798f2b78c6,81,21,4.12,25.9
171c6f4dae85,104,21,2.96,20.2
e7209000d3fe,92,21,3.28,22.8
22fb7dcde139,82,21,3.46,25.6
c8929e3d5552,387,20,7.14,5.2
74aa549f2f8a,71,20,4.31,28.2
9286c9820b0c,381,20,7.45,5.2
4d4aeba697c8,75,20,4.26,26.7
255cc20e6eaf,131,19,5.41,14.5
688d8763a23f,370,19,7.39,5.1
adb9f7d3adbe,369,19,7.7,5.1
e48167ca6196,375,19,7.76,5.1
5173a948f060,439,19,8.28,4.3
1385222d615f,373,19,7.2,5.1
fba2cf643df6,65,19,5.21,29.2
65db06b543a5,127,18,5.63,14.2
495fa52c7ded,179,18,4.51,10.1
7d6f7382d267,73,18,3.91,24.7
9a2720216541,123,18,6.12,14.6
5be6e62e52ef,126,18,5.18,14.3
a6def126ab5e,73,18,5.18,24.7
d45d5d029c13,131,18,5.03,13.7
0588f1e6722b,127,18,6.0,14.2
54a7b26bd7c5,128,17,4.54,13.3
97297e182266,348,17,7.92,4.9
33135f4cdb75,33,17,7.83,51.5
2f8c6f34f0ef,128,17,5.17,13.3
a577f8d0453c,125,17,5.89,13.6
020edc693b97,349,16,7.18,4.6
b5d9d298fd5f,83,16,7.59,19.3
9269da711071,83,16,7.61,19.3
aa0e717e8f3a,180,16,2.73,8.9
448e4981a962,284,16,7.51,5.6
20d70708103e,32,16,8.9,50.0
